County,State,Zipcode,Name,Max_temp,Min_temp,Description,Feels_like,Sunrise,Sunset,Lon,Lat
Summit,UT,84017,Coalville,-2.17,-6.17,scattered clouds,-4.26,1637763803,1637798472,-111.3228,40.8405
Sumner,KS,67004,Argonia,13.75,11.81,overcast clouds,10.57,1637760002,1637795760,-97.7557,37.284
Sumner,TN,37022,Bethpage,11.68,7.44,clear sky,8.32,1637757145,1637793124,-86.3146,36.5186
Sumter,AL,35459,Emelle,14.11,8.74,overcast clouds,9.77,1637757117,1637794108,-88.3057,32.755
Sumter,FL,34484,Oxford,16.11,13.92,broken clouds,14.83,1637755145,1637793082,-82.0612,28.9059
Sumter,GA,31709,Americus,10.64,4.09,few clouds,7.13,1637756044,1637793217,-84.2153,32.0404
Sumter,SC,29040,Dalzell,7.8,1.64,light intensity drizzle,3.92,1637755398,1637792063,-80.4665,34.0144
Sunflower,MS,38736,Doddsville,16.01,13.94,overcast clouds,13.63,1637757764,1637794527,-90.5264,33.63
Surry,NC,27007,Ararat,6.08,-1.01,broken clouds,2.89,1637755751,1637791769,-80.5895,36.3859
Surry,VA,23839,Dendron,4.28,-1.16,clear sky,1.79,1637754966,1637790782,-76.8966,37.0981
Susquehanna,PA,18421,Forest City,1.54,-2.42,scattered clouds,-0.77,1637755324,1637789737,-75.4666,41.6515
Sussex,DE,19930,Bethany Beach,4.43,-0.01,broken clouds,-1.84,1637754736,1637790132,-75.0674,38.531
Sussex,NJ,07416,Franklin,4.95,-2.23,broken clouds,0.78,1637755024,1637789614,-74.5865,41.1164
Sussex,VA,23882,Stony Creek,4.17,-1.13,broken clouds,-1.25,1637755074,1637790936,-77.4443,36.9361
Sutter,CA,95659,Nicolaus,18.27,11.3,clear sky,13.83,1637765953,1637801236,-121.557,38.8657
Sutton,TX,76950,Sonora,17.89,15.94,clear sky,17.31,1637759802,1637797340,-100.6307,30.5558
Suwannee,FL,32008,Branford,14.99,12.3,clear sky,12.98,1637755469,1637793160,-82.8993,29.9395
Swain,NC,28713,Bryson City,6.79,-0.27,overcast clouds,3.42,1637756302,1637792586,-83.4392,35.4241
Sweet Grass,MT,59011,Big Timber,1.75,-3.63,clear sky,-3.26,1637764359,1637797264,-109.9631,45.8283
Sweetwater,WY,82322,Bairoil,-3.06,-3.27,overcast clouds,-3.07,1637763131,1637797340,-107.5633,42.2327
Swift,MN,56208,Appleton,-2.78,-8.77,clear sky,-14.05,1637760884,1637794032,-95.9949,45.2054
Swisher,TX,79088,Tulia,12.65,10.54,clear sky,9.4,1637760595,1637797110,-101.8039,34.5583
Switzerland,IN,47224,Canaan,10.51,8.77,overcast clouds,6.78,1637757229,1637792515,-85.2213,38.887
Talbot,GA,31810,Geneva,10.14,3.29,few clouds,6.25,1637756193,1637793229,-84.5508,32.5799
Talbot,MD,21601,Easton,5.14,-0.06,clear sky,2.01,1637755016,1637790337,-76.0758,38.7768
Taliaferro,GA,30631,Crawfordville,7.58,2.94,scattered clouds,3.3,1637755921,1637792702,-82.8872,33.5708
Talladega,AL,35014,Alpine,11.99,3.84,overcast clouds,6.54,1637756703,1637793527,-86.2339,33.404
Tallahatchie,MS,38920,Cascilla,14.88,12.31,overcast clouds,13.2,1637757682,1637794373,-90.0362,33.9079
Tallapoosa,AL,35010,Alexander City,9.38,3.99,clear sky,5.82,1637756569,1637793519,-85.9368,32.9164
Tama,IA,50173,Montour,7.83,4.78,overcast clouds,3.81,1637759517,1637793818,-92.7006,41.9709
Taney,MO,65614,Bradleyville,17.75,13.42,overcast clouds,15.09,1637758765,1637794672,-92.9151,36.7659
Tangipahoa Parish,LA,70401,Hammond,18.93,14.39,clear sky,16.36,1637757362,1637794911,-90.4879,30.5191
